CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/W,,Face to Face,"HASEGAWA, Ken",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/W,,Face to Face,"GORAI, Asuka",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/TU,,Face to Face,"SATO, Kaori",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/TH,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,3/M,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/F,,Face to Face,"HASEGAWA, Ken",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,4/M,,Face to Face,"HASEGAWA, Ken",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/TU,,Face to Face,"SATO, Kaori",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,4/F,,Face to Face,"SATO, Kaori",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/M,,Face to Face,"HASEGAWA, Ken",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,5/W,,Face to Face,"SATO, Kaori",1/3,
HPE005,,Physical Education Exercise I,PE エクササイズⅠ,2/TH,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE007,,Physical Education Exercise III,PE エクササイズⅢ,4/W,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE007,,Physical Education Exercise III,PE エクササイズⅢ,5/W,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE007,,Physical Education Exercise III,PE エクササイズⅢ,4/F,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE007,,Physical Education Exercise III,PE エクササイズⅢ,5/TH,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE007,,Physical Education Exercise III,PE エクササイズⅢ,4/TH,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE010,,Team Sports I SOFTBALL,ティームスポーツ I,3/M,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE010,,Team Sports I FUTSAL,ティームスポーツ I,5/M,,Face to Face,"YAMAUCHI, Hiroshi",1/3,
HPE010,,Team Sports I ULTIMATE FLYING DISC,ティームスポーツ I,5/M,,Face to Face,"HONDA, Masakazu",1/3,
HPE010,,Team Sports I DISC GOLF,ティームスポーツ I,4/M,,Face to Face,"HONDA, Masakazu",1/3,
HPE010,,Team Sports I OUTDOOR TEAM SPORTS,ティームスポーツ I,5/TU,,Face to Face,"GORAI, Asuka",1/3,
HPE011,,Team Sports II BASKETBALL,ティームスポーツ II,3/W,,Face to Face,"HASEGAWA, Ken",1/3,
HPE012,,Beginning Dual Sports TENNIS,初級対人スポーツ,2/F,,Face to Face,"OKADA, Mitsuhiro",1/3,
HPE012,,Beginning Dual Sports TENNIS,初級対人スポーツ,3/F,,Face to Face,"OKADA, Mitsuhiro",1/3,
HPE012,,Beginning Dual Sports BADMINTON,初級対人スポーツ,4/F,,Face to Face,"GORAI, Asuka",1/3,
HPE012,,Beginning Dual Sports BADMINTON,初級対人スポーツ,5/F,,Face to Face,"GORAI, Asuka",1/3,
HPE014,,Beginning Individual Sports GOLF,初級個人スポーツ,3/F,,Face to Face,"HASHIGUCHI, Takeo",1/3,
HPE014,,Beginning Individual Sports GOLF,初級個人スポーツ,2/F,,Face to Face,"HASHIGUCHI, Takeo",1/3,
HPE014,,Beginning Individual Sports ARCHERY,初級個人スポーツ,2/M,,Face to Face,"OKA, Yoshiro",1/3,
HPE014,,Beginning Individual Sports ARCHERY,初級個人スポーツ,3/M,,Face to Face,"OKA, Yoshiro",1/3,
HPE014,,Beginning Individual Sports BEGINNER'S SWIMMING,初級個人スポーツ,3/F,,Face to Face,"SATO, Kaori",1/3,
HPE016,,Beginning Self Testing Activities YOGA FOR STUDENT,初級個人試技活動,3/TH,,Face to Face,"HIRATA, Tomoko",1/3,
